claim_id,policyholder_id,policy_type,claim_type,region,channel,claim_date,report_date,report_lag_days,claim_amount,num_prior_claims,witnesses,police_report_filed,claim_status,is_fraud
CLM500000,PH100928,Life,Critical Illness,South West,Call Center,2024-03-09,2024-03-20,11,6699.47,4,0,True,Approved,0
CLM500001,PH101137,Life,Death Benefit,North West,Online,2023-08-02,2023-08-17,15,49436.75,6,3,True,Pending,0
CLM500002,PH100873,Home,Fire,Wales,Broker,2023-06-21,2023-06-24,3,286.68,3,0,True,Approved,0
CLM500003,PH101274,Commercial,Liability,London,Online,2024-03-15,2024-03-26,11,26142.43,1,3,False,Approved,0
CLM500004,PH101076,Travel,Delay,Northern Ireland,Mobile App,2023-01-04,2023-01-11,7,1199.1,3,1,False,Pending,0
CLM500005,PH100315,Commercial,Liability,Yorkshire,Mobile App,2023-12-03,2023-12-09,6,12457.39,6,2,False,Approved,0
CLM500006,PH100911,Travel,Delay,Northern Ireland,Online,2023-12-28,2024-01-12,15,1465.13,6,1,True,Approved,0
CLM500007,PH100246,Commercial,Liability,North East,Call Center,2023-09-30,2023-10-04,4,10750.9,2,0,False,Approved,0
CLM500008,PH100103,Life,Critical Illness,Wales,Call Center,2024-06-12,2024-06-12,0,33675.6,6,1,True,Rejected,0
CLM500009,PH100337,Auto,Theft,London,Online,2024-04-26,2024-05-23,27,3649.21,5,2,False,Approved,0
CLM500010,PH100585,Commercial,Liability,North West,Branch,2024-10-30,2024-11-26,27,6655.41,2,1,True,Approved,0
CLM500011,PH100238,Home,Accidental Damage,Yorkshire,Call Center,2024-11-26,2024-12-04,8,3198.7,4,1,True,Rejected,0
CLM500012,PH100658,Home,Flood,Scotland,Call Center,2024-11-15,2024-12-02,17,6183.68,3,2,True,Approved,0
CLM500013,PH101143,Life,Critical Illness,Wales,Online,2023-07-17,2023-08-10,24,59374.4,0,0,True,Approved,0
CLM500014,PH100412,Travel,Medical,North West,Mobile App,2023-04-05,2023-04-12,7,440.03,5,0,False,Approved,0
CLM500015,PH100759,Life,Critical Illness,Midlands,Mobile App,2024-09-07,2024-09-08,1,76390.57,1,1,False,Approved,1
CLM500016,PH101240,Auto,Third Party,Scotland,Branch,2023-09-03,2023-09-03,0,7794.44,4,3,True,Approved,0
